,ニュースリスト
515,790
516,10953000
517,3950
518,2018-04-23
519,797
520,806.3
521,796.9
522,801.5
523,11840000
524,4007.5
525,2018-04-24
526,820
527,830
528,815
529,829.1
530,20244000
531,4145.5
532,2018-04-25
533,820.1
534,820.5
535,803
536,809.8
537,19642000
538,4049
539,2018-04-26
540,814.1
541,816
542,808.4
543,808.9
544,13079000
545,4044.5
546,2018-04-27
547,800
548,807.3
549,795.6
550,801.6
551,17553000
552,4008
553,2018-05-01
554,838
555,855.8
556,823.3
557,850.3
558,36104000
559,4251.5
560,2018-05-02
561,858
562,869
563,856.1
564,864.3
565,22529000
566,4321.5
567,2018-05-07
568,864.3
569,864.7
570,847
571,859.5
572,17812000
573,4297.5
574,2018-05-08
575,859.3
576,869.6
577,855.6
578,858
579,13911000
580,4290
581,2018-05-09
582,861
583,873.7
584,860.8
585,864.8
586,17539000
587,4324
588,2018-05-10
589,865
590,870.9
591,856.9
592,864.3
593,14251000
594,4321.5
595,2018-05-11
596,867.1
597,873
598,865.6
599,872.6
600,13491000
601,4363
602,2018-05-14
603,865
604,870.6
605,861.1
606,869.5
607,12555000
608,4347.5
609,2018-05-15
610,871.5
611,871.8
612,861.3
613,864.3
614,10956000
615,4321.5
616,2018-05-16
617,861
618,862.1
619,851.4
620,852.1
621,12331000
622,4260.5
623,2018-05-17
624,858
625,859.6
626,850.6
627,850.6
628,9603000
629,4253
630,2018-05-18
631,850
632,850.3
633,840.4
634,846.9
635,11700000
636,4234.5
637,2018-05-21
638,845.1
639,845.8
640,839
641,842.7
642,8737000
643,4213.5
644,2018-05-22
645,840
646,840.6
647,829.5
648,832.1
649,13421000
650,4160.5
651,2018-05-23
652,830.5
653,835.4
654,820.2
655,820.9
656,16215000
657,4104.5
658,2018-05-24
659,816.1
660,817.6
661,807.7
662,812.1
663,15574000
664,4060.5
665,2018-05-25
666,809.7
667,824.8
668,807.8
669,819.7
670,13397000
671,4098.5
672,2018-05-28
673,820
674,827.8
675,819.6
676,825.7
677,10051000
678,4128.5
679,2018-05-29
680,822.4
681,822.6
682,807.5
683,814.2
684,10883000
685,4071
686,2018-05-30
687,798
688,801.2
689,789.7
690,794.4
691,17549000
692,3972
693,2018-05-31
694,800.1
695,802.8
696,792
697,796.6
698,21841000
699,3983
700,2018-06-01
701,790
702,796.5
703,786.2
704,791.2
705,12401000
706,3956
707,2018-06-04
708,798.1
709,806.3
710,797.6
711,801.1
712,12526000
713,4005.5
714,2018-06-05
715,808
716,808.3
717,795.8
718,797.8
719,16445000
720,3989
721,2018-06-06
722,806.7
723,826.2
724,806.1
725,822.7
726,20979000
727,4113.5
728,2018-06-07
729,829.9
730,839.2
731,829.3
732,834.7
733,19485000
734,4173.5
735,2018-06-08
736,830.1
737,834.3
738,823.5
739,824.6
740,15572000
741,4123
742,2018-06-11
743,823.6
744,828.9
745,820.6
746,824.8
747,6878000
748,4124
749,2018-06-12
750,836
751,837.5
752,819.4
753,827.1
754,11624000
755,4135.5
756,2018-06-13
757,826.6
758,836.9
759,826.1
760,834.4
761,8707000
762,4172
763,2018-06-14
764,829
765,829.3
766,817.2
767,817.3
768,12483000
769,4086.5
770,2018-06-15
771,822.1
772,822.8
773,814.3
774,817.9
775,15061000
776,4089.5
777,2018-06-18
778,810
779,810.8
780,790.7
781,792.9
782,13668000
783,3964.5
784,2018-06-19
785,799.5
786,799.7
787,785.1
788,785.6
789,14296000
790,3928
791,2018-06-20
792,786.3
793,791.9
794,775.1
795,786.1
796,15562000
797,3930.5
798,2018-06-21
799,785.5
800,793.2
801,781.3
802,787.2
803,11932000
804,3936
805,2018-06-22
806,772.2
807,784.9
808,771
809,783
810,11868000
811,3915
812,2018-06-25
813,786
814,792.2
815,780.2
816,781.6
817,9352000
818,3908
819,2018-06-26
820,777.8
821,785.3
822,774
823,779.1
824,14870000
825,3895.5
826,2018-06-27
827,780.5
828,782.9
829,766.7
830,768.3
831,13656000
832,3841.5
833,2018-06-28
834,765.9
835,773.1
836,764
837,772.2
838,12331000
839,3861
840,2018-06-29
841,773.5
842,782.5
843,771.1
844,781.6
845,13070000
846,3908
847,2018-07-02
848,780.5
849,790
850,767.7
851,768.1
852,9285000
853,3840.5
854,2018-07-03
855,771.9
856,773.4
857,761.1
858,769.4
859,11871000
860,3847
861,2018-07-04
862,765.6
863,767.5
864,755.4
865,759
866,10521000
867,3795
868,2018-07-05
869,759.7
870,762.9
871,751.1
872,752.5
873,12488000
874,3762.5
875,2018-07-06
876,757
877,762
878,755.3
879,758.8
880,12949000
881,3794
882,2018-07-09
883,760
884,772.8
885,758.6
886,771.8
887,7691000
888,3859
889,2018-07-10
890,787
891,795.8
892,784.8
893,790.2
894,16017000
895,3951
896,2018-07-11
897,782.1
898,782.9
899,765.4
900,779.9
901,13423000
902,3899.5
903,2018-07-12
904,780.8
905,786.9
906,777.5
907,781.3
908,9847000
909,3906.5
910,2018-07-13
911,785.9
912,790.4
913,782.4
914,787.7
915,10326000
916,3938.5
917,2018-07-17
918,791.6
919,798.5
920,784
921,792.6
922,11083000
923,3963
924,2018-07-18
925,800.8
926,802.4
927,791.4
928,792.7
929,7737000
930,3963.5
931,2018-07-19
932,800.6
933,804.8
934,796.5
935,798.5
936,9772000
937,3992.5
938,2018-07-20
939,798.5
940,801.5
941,790.5
942,795.6
943,13031000
944,3978
945,2018-07-23
946,788.7
947,795.2
948,786.5
949,791.1
950,7806000
951,3955.5
952,2018-07-24
953,792
954,793.9
955,783.9
956,793
957,8412000
